Latitude (decimal degrees):	6.160
Longitude (decimal degrees):	-75.580
Elevation (m):	1618
Radiation database:	PVGIS-ERA5


Slope: 90 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230411:0130,0.0,0.0,0.0,0.0,14.26,0.21,0.0
20230411:0230,0.0,0.0,0.0,0.0,14.18,0.21,0.0
20230411:0330,0.0,0.0,0.0,0.0,12.98,0.48,0.0
20230411:0430,0.0,0.0,0.0,0.0,12.56,0.76,0.0
20230411:0530,0.0,0.0,0.0,0.0,12.3,0.83,0.0
20230411:0630,0.0,0.0,0.0,0.0,12.79,0.83,0.0
20230411:0730,0.0,0.0,0.0,0.0,12.32,0.9,0.0
20230411:0830,0.0,0.0,0.0,0.0,12.23,0.69,0.0
20230411:0930,0.0,0.0,0.0,0.0,12.53,0.62,0.0
20230411:1030,0.0,0.0,0.0,0.0,12.58,0.62,0.0
20230411:1130,0.0,11.05,3.1,7.35,12.84,0.55,0.0
20230411:1230,0.0,43.04,12.09,22.15,13.43,0.76,0.0
20230411:1330,0.0,65.79,18.48,36.98,14.58,0.62,0.0
20230411:1430,0.0,81.58,22.91,51.82,15.92,0.48,0.0
20230411:1530,0.0,73.16,20.55,66.65,17.77,0.41,0.0
20230411:1630,0.0,78.46,22.04,81.36,19.39,0.48,0.0
20230411:1730,0.0,66.63,18.71,83.14,20.2,0.34,0.0
20230411:1830,0.0,105.47,29.62,68.5,20.62,0.41,0.0
20230411:1930,0.0,86.1,24.19,53.68,19.54,0.76,0.0
20230411:2030,0.0,71.13,19.98,38.83,19.14,0.21,0.0
20230411:2130,0.0,43.27,12.16,24.0,18.27,0.41,0.0
20230411:2230,0.0,10.27,2.89,9.2,16.67,0.48,0.0
20230411:2330,0.0,0.0,0.0,-5.56,15.74,0.34,0.0
20230412:0030,0.0,0.0,0.0,0.0,15.36,0.55,0.0
20230412:0130,0.0,0.0,0.0,0.0,14.65,0.69,0.0
20230412:0230,0.0,0.0,0.0,0.0,14.07,0.76,0.0
20230412:0330,0.0,0.0,0.0,0.0,13.71,0.62,0.0
20230412:0430,0.0,0.0,0.0,0.0,13.61,0.83,0.0
20230412:0530,0.0,0.0,0.0,0.0,13.35,0.83,0.0
20230412:0630,0.0,0.0,0.0,0.0,13.22,0.76,0.0
20230412:0730,0.0,0.0,0.0,0.0,13.06,0.55,0.0
20230412:0830,0.0,0.0,0.0,0.0,12.72,0.55,0.0
20230412:0930,0.0,0.0,0.0,0.0,12.34,0.69,0.0
20230412:1030,0.0,0.0,0.0,0.0,12.1,0.55,0.0
20230412:1130,0.0,12.92,3.63,7.46,12.13,0.62,0.0
20230412:1230,0.0,47.83,13.44,22.24,13.56,0.69,0.0
20230412:1330,0.0,65.75,18.47,37.06,15.25,0.62,0.0
20230412:1430,0.0,80.03,22.48,51.89,17.18,0.41,0.0
20230412:1530,0.0,89.23,25.06,66.7,19.07,0.34,0.0
20230412:1630,0.0,70.67,19.85,81.33,20.6,0.55,0.0
20230412:1730,0.0,103.17,28.98,82.95,21.58,0.55,0.0
20230412:1830,0.0,104.68,29.4,68.4,21.99,0.34,0.0
20230412:1930,0.0,79.71,22.39,53.6,20.66,0.48,0.0
20230412:2030,0.0,77.41,21.74,38.77,18.09,0.55,0.0
20230412:2130,0.0,25.79,7.24,23.95,17.85,0.62,0.0
20230412:2230,0.0,16.68,4.68,9.16,17.05,0.55,0.0
20230412:2330,0.0,0.0,0.0,-5.58,16.6,0.9,0.0
20230413:0030,0.0,0.0,0.0,0.0,15.48,0.62,0.0
20230413:0130,0.0,0.0,0.0,0.0,15.05,0.48,0.0
20230413:0230,0.0,0.0,0.0,0.0,14.11,0.69,0.0
20230413:0330,0.0,0.0,0.0,0.0,13.47,0.76,0.0
20230413:0430,0.0,0.0,0.0,0.0,12.56,0.9,0.0
20230413:0530,0.0,0.0,0.0,0.0,12.39,0.97,0.0
20230413:0630,0.0,0.0,0.0,0.0,11.9,0.9,0.0
20230413:0730,0.0,0.0,0.0,0.0,12.39,0.69,0.0
20230413:0830,0.0,0.0,0.0,0.0,12.13,0.69,0.0
20230413:0930,0.0,0.0,0.0,0.0,12.15,0.69,0.0
20230413:1030,0.0,0.0,0.0,0.0,12.39,0.48,0.0
20230413:1130,0.0,15.5,4.35,7.55,12.3,0.48,0.0
20230413:1230,0.0,41.71,11.72,22.33,13.57,0.62,0.0
20230413:1330,0.0,62.55,17.57,37.13,15.52,0.62,0.0
20230413:1430,0.0,68.01,19.11,51.95,17.66,0.55,0.0
20230413:1530,0.0,46.26,12.99,66.73,20.09,0.62,0.0
20230413:1630,0.0,66.91,18.79,81.28,21.14,0.55,0.0
20230413:1730,0.0,129.46,36.36,82.75,22.06,0.55,0.0
20230413:1830,0.0,109.77,30.84,68.3,21.5,0.62,0.0
20230413:1930,0.0,73.43,20.62,53.52,19.06,0.62,0.0
20230413:2030,0.0,61.04,17.14,38.71,18.15,0.69,0.0
20230413:2130,0.0,31.76,8.92,23.91,17.8,0.62,0.0
20230413:2230,0.0,10.72,3.01,9.13,16.35,0.34,0.0
20230413:2330,0.0,0.0,0.0,-5.61,15.82,0.28,0.0
20230414:0030,0.0,0.0,0.0,0.0,15.44,0.69,0.0
20230414:0130,0.0,0.0,0.0,0.0,14.9,0.69,0.0
20230414:0230,0.0,0.0,0.0,0.0,14.21,0.83,0.0
20230414:0330,0.0,0.0,0.0,0.0,13.74,0.83,0.0
20230414:0430,0.0,0.0,0.0,0.0,13.2,0.9,0.0
20230414:0530,0.0,0.0,0.0,0.0,12.8,0.76,0.0
20230414:0630,0.0,0.0,0.0,0.0,12.21,0.69,0.0
20230414:0730,0.0,0.0,0.0,0.0,12.11,0.62,0.0
20230414:0830,0.0,0.0,0.0,0.0,12.12,0.62,0.0
20230414:0930,0.0,0.0,0.0,0.0,12.5,0.55,0.0
20230414:1030,0.0,0.0,0.0,0.0,12.18,0.55,0.0
20230414:1130,0.0,11.71,3.29,7.65,12.47,0.41,0.0
20230414:1230,0.0,38.07,10.69,22.41,13.49,0.28,0.0
20230414:1330,0.0,56.98,16.01,37.2,15.22,0.48,0.0
20230414:1430,0.0,80.14,22.51,52.0,17.09,0.48,0.0
20230414:1530,0.0,103.49,29.07,66.76,18.67,0.55,0.0
20230414:1630,0.0,116.54,32.74,81.22,19.78,0.41,0.0
20230414:1730,0.0,133.7,37.55,82.54,20.57,0.69,0.0
20230414:1830,0.0,111.07,31.2,68.19,20.79,0.55,0.0
20230414:1930,0.0,92.12,25.87,53.44,20.25,0.34,0.0
20230414:2030,0.0,84.07,23.61,38.65,18.63,0.97,0.0
20230414:2130,0.0,33.89,9.52,23.86,17.06,0.34,0.0
20230414:2230,0.0,7.14,2.0,9.09,16.42,0.21,0.0
20230414:2330,0.0,0.0,0.0,-5.63,15.6,0.76,0.0
20230415:0030,0.0,0.0,0.0,0.0,15.03,0.48,0.0
20230415:0130,0.0,0.0,0.0,0.0,14.74,0.21,0.0
20230415:0230,0.0,0.0,0.0,0.0,14.29,0.28,0.0
20230415:0330,0.0,0.0,0.0,0.0,13.33,0.55,0.0
20230415:0430,0.0,0.0,0.0,0.0,13.12,0.62,0.0
20230415:0530,0.0,0.0,0.0,0.0,13.22,0.55,0.0
20230415:0630,0.0,0.0,0.0,0.0,13.16,0.48,0.0
20230415:0730,0.0,0.0,0.0,0.0,13.18,0.62,0.0
20230415:0830,0.0,0.0,0.0,0.0,13.22,0.62,0.0
20230415:0930,0.0,0.0,0.0,0.0,13.34,0.69,0.0
20230415:1030,0.0,0.0,0.0,0.0,13.42,0.55,0.0
20230415:1130,0.0,11.57,3.25,7.75,13.17,0.69,0.0
20230415:1230,0.0,41.51,11.66,22.5,13.96,0.76,0.0
20230415:1330,0.0,71.95,20.21,37.27,14.97,0.69,0.0
20230415:1430,0.0,103.44,29.05,52.05,16.44,0.55,0.0
20230415:1530,0.0,106.64,29.95,66.78,17.83,0.34,0.0
20230415:1630,0.0,131.94,37.06,81.14,18.36,0.34,0.0
20230415:1730,0.0,134.55,37.8,82.33,19.78,0.62,0.0
20230415:1830,0.0,108.26,30.41,68.08,20.07,0.62,0.0
20230415:1930,0.0,90.26,25.36,53.36,19.36,0.62,0.0
20230415:2030,0.0,75.13,21.11,38.58,18.38,0.76,0.0
20230415:2130,0.0,44.3,12.44,23.81,17.74,0.41,0.0
20230415:2230,0.0,8.12,2.28,9.06,16.5,0.34,0.0
20230415:2330,0.0,0.0,0.0,-5.64,15.21,0.48,0.0
20230416:0030,0.0,0.0,0.0,0.0,14.56,0.55,0.0
20230416:0130,0.0,0.0,0.0,0.0,14.22,0.55,0.0
20230416:0230,0.0,0.0,0.0,0.0,14.07,0.34,0.0
20230416:0330,0.0,0.0,0.0,0.0,14.41,0.34,0.0
20230416:0430,0.0,0.0,0.0,0.0,14.35,0.21,0.0
20230416:0530,0.0,0.0,0.0,0.0,14.13,0.34,0.0
20230416:0630,0.0,0.0,0.0,0.0,14.2,0.41,0.0
20230416:0730,0.0,0.0,0.0,0.0,13.99,0.21,0.0
20230416:0830,0.0,0.0,0.0,0.0,14.14,0.21,0.0
20230416:0930,0.0,0.0,0.0,0.0,13.86,0.21,0.0
20230416:1030,0.0,0.0,0.0,0.0,14.0,0.41,0.0
20230416:1130,0.0,9.56,2.69,7.84,13.62,0.69,0.0
20230416:1230,0.0,39.11,10.98,22.58,14.37,0.76,0.0
20230416:1330,0.0,47.76,13.41,37.34,14.88,0.55,0.0
20230416:1430,0.0,74.71,20.99,52.1,15.94,0.55,0.0
20230416:1530,0.0,78.45,22.04,66.8,16.05,0.48,0.0
20230416:1630,0.0,72.87,20.47,81.05,16.71,0.34,0.0
20230416:1730,0.0,66.91,18.79,82.1,16.22,0.48,0.0
20230416:1830,0.0,64.86,18.22,67.97,16.37,0.62,0.0
20230416:1930,0.0,64.26,18.05,53.28,16.14,0.83,0.0
20230416:2030,0.0,57.14,16.05,38.52,16.06,0.9,0.0
20230416:2130,0.0,30.37,8.53,23.76,15.76,0.62,0.0
20230416:2230,0.0,8.4,2.36,9.02,15.58,0.48,0.0
20230416:2330,0.0,0.0,0.0,-5.66,15.13,0.55,0.0
20230417:0030,0.0,0.0,0.0,0.0,14.65,0.55,0.0
20230417:0130,0.0,0.0,0.0,0.0,14.3,0.41,0.0
20230417:0230,0.0,0.0,0.0,0.0,14.07,0.28,0.0
20230417:0330,0.0,0.0,0.0,0.0,14.07,0.21,0.0
20230417:0430,0.0,0.0,0.0,0.0,13.98,0.14,0.0
20230417:0530,0.0,0.0,0.0,0.0,13.9,0.28,0.0
20230417:0630,0.0,0.0,0.0,0.0,13.71,0.34,0.0
20230417:0730,0.0,0.0,0.0,0.0,13.06,0.34,0.0
20230417:0830,0.0,0.0,0.0,0.0,12.94,0.21,0.0
20230417:0930,0.0,0.0,0.0,0.0,12.63,0.28,0.0
20230417:1030,0.0,0.0,0.0,-6.73,12.57,0.07,0.0
20230417:1130,0.0,12.16,3.42,7.93,12.45,0.07,0.0
20230417:1230,0.0,47.85,13.44,22.65,13.7,0.21,0.0
20230417:1330,0.0,56.11,15.76,37.4,14.0,0.34,0.0
20230417:1430,0.0,71.45,20.07,52.14,16.15,0.34,0.0
20230417:1530,0.0,95.69,26.88,66.8,17.96,0.55,0.0
20230417:1630,0.0,126.83,35.62,80.95,18.99,0.69,0.0
20230417:1730,0.0,78.07,21.93,81.87,19.63,0.97,0.0
